,request,aid_related,medical_help,medical_products,search_and_rescue,security,military,child_alone,water,food,shelter,clothing,money,missing_people,refugees,death,other_aid,infrastructure_related,transport,buildings,electricity,hospitals,aid_centers,other_infrastructure,weather_related,floods,storm,fire,earthquake,cold,other_weather,direct_report,micro avg,macro avg,weighted avg,samples avg
precision,0.7564979480164159,0.7464358452138493,0.6135265700483091,0.6617647058823529,0.5217391304347826,0.16666666666666666,0.6464646464646465,0.0,0.708092485549133,0.7804459691252144,0.7910447761194029,0.6981132075471698,0.5822784810126582,0.6111111111111112,0.5263157894736842,0.8,0.5044642857142857,0.35789473684210527,0.6703296703296703,0.56,0.6,0.3157894736842105,0.26666666666666666,0.25757575757575757,0.8462783171521036,0.8787878787878788,0.7796610169491526,0.5833333333333334,0.8955823293172691,0.6590909090909091,0.524390243902439,0.7365591397849462,0.741841098356966,0.595215659118629,0.7036240544661271,0.3918642818397181
recall,0.5261655566127498,0.6045360824742269,0.28798185941043086,0.3358208955223881,0.1702127659574468,0.047619047619047616,0.3615819209039548,0.0,0.6550802139037433,0.6989247311827957,0.5247524752475248,0.5068493150684932,0.2857142857142857,0.1506849315068493,0.21621621621621623,0.4857142857142857,0.14790575916230367,0.08994708994708994,0.23828125,0.33220338983050846,0.2578125,0.09230769230769231,0.07017543859649122,0.06319702602230483,0.650497512437811,0.58,0.5297504798464492,0.21875,0.7729636048526863,0.25663716814159293,0.134375,0.47860262008733623,0.47427872508813584,0.33660190982145954,0.47427872508813584,0.2727732394919319
f1-score,0.6206509539842874,0.6680337206652998,0.3919753086419753,0.44554455445544555,0.2566844919786096,0.07407407407407407,0.46376811594202905,0.0,0.6805555555555556,0.7374392220421393,0.630952380952381,0.5873015873015873,0.38333333333333336,0.2417582417582418,0.30651340996168586,0.6044444444444443,0.22874493927125505,0.14376321353065538,0.3515850144092219,0.4170212765957447,0.36065573770491804,0.14285714285714285,0.11111111111111112,0.10149253731343283,0.7355836849507735,0.6987951807228915,0.6308571428571428,0.31818181818181823,0.8297674418604651,0.36942675159235666,0.21393034825870647,0.5802011646373741,0.5786262892253675,0.4164688719045656,0.5555302267639244,0.30274295392574624
support,1051.0,2425.0,441.0,268.0,141.0,84.0,177.0,0.0,374.0,651.0,505.0,73.0,161.0,73.0,185.0,280.0,764.0,378.0,256.0,295.0,128.0,65.0,57.0,269.0,1608.0,450.0,521.0,64.0,577.0,113.0,320.0,1145.0,13899.0,13899.0,13899.0,13899.0
