,request,aid_related,medical_help,medical_products,search_and_rescue,security,military,child_alone,water,food,shelter,clothing,money,missing_people,refugees,death,other_aid,infrastructure_related,transport,buildings,electricity,hospitals,aid_centers,other_infrastructure,weather_related,floods,storm,fire,earthquake,cold,other_weather,direct_report,micro avg,macro avg,weighted avg,samples avg
precision,0.5727002967359051,0.6271398747390396,0.3308641975308642,0.3992673992673993,0.16176470588235295,0.09615384615384616,0.3621621621621622,0.0,0.6415584415584416,0.7081481481481482,0.579476861167002,0.5365853658536586,0.3492063492063492,0.30612244897959184,0.3313253012048193,0.553030303030303,0.28431372549019607,0.10891089108910891,0.2719298245614035,0.45901639344262296,0.376,0.14814814814814814,0.05,0.09821428571428571,0.7039141414141414,0.5891304347826087,0.6196911196911197,0.36486486486486486,0.8139963167587477,0.42452830188679247,0.2893772893772894,0.5105820105820106,0.5306411883257446,0.39587885779447574,0.5242539046256148,0.3666583179801258
recall,0.5509039010466222,0.619381443298969,0.30385487528344673,0.40671641791044777,0.15602836879432624,0.11904761904761904,0.3785310734463277,0.0,0.660427807486631,0.7342549923195084,0.5702970297029702,0.6027397260273972,0.2732919254658385,0.2054794520547945,0.2972972972972973,0.5214285714285715,0.26570680628272253,0.0873015873015873,0.2421875,0.37966101694915255,0.3671875,0.12307692307692308,0.05263157894736842,0.08178438661710037,0.693407960199005,0.6022222222222222,0.6161228406909789,0.421875,0.7660311958405546,0.39823008849557523,0.246875,0.5056768558951965,0.5114756457299087,0.38280184259778605,0.5114756457299087,0.2968474948081529
f1-score,0.5615906886517944,0.6232365145228215,0.31678486997635935,0.4029574861367837,0.1588447653429603,0.10638297872340424,0.3701657458563536,0.0,0.6508563899868248,0.7209653092006033,0.5748502994011977,0.567741935483871,0.3066202090592335,0.2459016393442623,0.3133903133903134,0.5367647058823529,0.2746955345060893,0.09691629955947136,0.25619834710743805,0.41558441558441556,0.3715415019762846,0.13445378151260504,0.05128205128205128,0.08924949290060852,0.6986215538847118,0.5956043956043956,0.6179018286814244,0.3913043478260869,0.7892857142857143,0.4109589041095891,0.2664418212478921,0.5081175954365951,0.5208821805392732,0.3882878573895159,0.5174063544382296,0.30579510564063467
support,1051.0,2425.0,441.0,268.0,141.0,84.0,177.0,0.0,374.0,651.0,505.0,73.0,161.0,73.0,185.0,280.0,764.0,378.0,256.0,295.0,128.0,65.0,57.0,269.0,1608.0,450.0,521.0,64.0,577.0,113.0,320.0,1145.0,13899.0,13899.0,13899.0,13899.0
