,best_features
tarp,1.0188647680022007
enormous,1.0138537666542766
oclock,1.012085699607755
day,1.011095140663281
beach,1.0094761491393727
damage,1.0072851783017591
meals,1.0061314311370757
mess,1.0042129852360937
medication,1.0038482876135075
distribution,1.0027269467956499
hurry,1.0012332743875425
asking,0.9966808136334714
since,0.9961187716850496
quakes,0.9942090715394943
debris,0.9929864833982878
rebuild,0.9896289548704218
nyc,0.9840772036632822
items,0.979744014852474
forgot,0.9784473893888456
father,0.9729666155879146
1th,0.9728247123873581
end,0.9698888042561566
pls,0.965184958807455
worse,0.9622542448205816
outages,0.9612116899600468
experiencing,0.9535709058503251
damn,0.9506627899929774
misery,0.9491998251055314
delivered,0.9491886262658884
one,0.9465000313727983
drink,0.9453763569451754
found,0.9453131401329712
thank,0.943887344004851
put,0.9433609021059315
together,0.9399973260458236
ave,0.9344120182824898
material,0.9299696746179572
yet,0.926453205672035
section,0.9255141380263748
weekend,0.9231489460723054
still,0.9224501971225513
stay,0.9148138965855572
medicine,0.9127283959455701
ready,0.9087625028192862
happening,0.9072907939707685
petionville,0.9067105575607425
burst,0.9003235374083388
mariani,0.8991810093628609
outside,0.8974063664288481
snow,0.8971132608296372
cause,0.8965989070786871
infection,0.8964269260629979
stand,0.894936188138434
beds,0.8945362007452146
stamford,0.8909462690602606
rubbles,0.8859836251249682
shake,0.8817564509305857
fontamara,0.8737862912092371
far,0.86928003538121
history,0.8689108520420373
fort,0.8680456782335298
request,0.8624618730662308
exhausted,0.8604006002123591
neighbors,0.8595412039460938
falls,0.85951479725666
medecine,0.8570778148975648
regions,0.8567340548135953
self,0.8530997515256503
mom,0.8526610192239313
high,0.8492112806909216
buildings,0.8467136192249052
looking,0.8439790581240507
catastrophe,0.8432457549567197
eat,0.8403302918699324
mother,0.8395003426602499
get,0.8388600657558632
died,0.8384848385942156
perhaps,0.8384179613723917
nt,0.8381606993495373
highly,0.8372482015851175
jacmel,0.8370128516714354
fallen,0.8243721778015599
find,0.822693504372424
portauprince,0.822425540809601
crazy,0.8218448918400988
requesting,0.8214045558483478
theres,0.819400942531015
lakes,0.816785306442645
without,0.8144218561812129
child,0.8106341900987526
prevent,0.808880769548168
failed,0.8079575800795115
start,0.8048689671774225
believe,0.804540899183879
collapsing,0.8044349741194441
75,0.803336298279612
driving,0.8027914074533982
helicopters,0.801234122255038
stuck,0.7997002113256423
aquin,0.7971885881216056
happened,0.796627163534093
fine,0.7962786695782578
papers,0.7951314850250651
turkey,0.7940455953519509
greet,0.7939715391693083
cold,0.793708538612905
bad,0.7904241642196419
everybody,0.787649382579302
croix,0.7868869971948378
st,0.7865700676393338
bed,0.7860182047065053
bag,0.7855453442803303
seen,0.7850689809906901
barrier,0.7829205056567728
eartquake,0.7816198513931494
finished,0.7815414453732866
already,0.7805072580380016
grateful,0.779407078948761
gonna,0.7793139583060827
corner,0.7792369986951576
shah,0.778553731637333
santo,0.7770543870271988
seeing,0.7762314192516961
alongside,0.7735407916259458
hello,0.7708890136481477
cayes,0.7707423263805178
trying,0.7675932287521127
fighting,0.7671288089820876
living,0.7665642940820986
modern,0.7664546840301875
nobody,0.7647437574812639
suffering,0.7645057529691202
antibiotics,0.7637110725297354
tarps,0.7633234759454335
broke,0.7628898293407657
helps,0.7621327625631774
fell,0.7616212710878948
predict,0.7614638925831302
last,0.760308229307197
providing,0.7599367827826121
situated,0.7568984302333566
dad,0.7562895494320987
covers,0.7549126439438049
wow,0.7537559126052495
either,0.7535045139714233
babies,0.7505681690223369
tsunami,0.7493703550107066
note,0.7493093896445026
trapped,0.7491879731717475
solution,0.7468011855556551
sandys,0.745980724100983
store,0.7446973175330055
struggling,0.7437192077405476
trucks,0.7402943545456395
lots,0.7384348756097516
dark,0.7366553156177232
nazon,0.7352023258085681
hurt,0.7328429696513312
never,0.730819462697536
charge,0.7298798335965109
subject,0.7294789030813085
anymore,0.7292332928848893
apartment,0.7290244734652727
hitting,0.7289045438481425
blue,0.7280023726554508
coats,0.7270337578870867
allah,0.7265449682848911
serve,0.7235614065878293
yard,0.7234488959475456
tuesday,0.7234019841550462
potential,0.7228449965990522
sickness,0.7192352698179079
refugee,0.7161989972493861
drop,0.7160143272234029
65,0.7147156389495195
son,0.7136967132988236
15,0.7100382516351691
scabies,0.7086254653501378
houses,0.7069477227639562
sheets,0.7063308925292715
staying,0.7043574155606446
taking,0.7033381220285069
frankenstorm,0.7033091761231054
arriving,0.7028793022914351
fund,0.7016117837365297
55,0.7006441555919211
trouble,0.7004992844983653
