,request,offer,aid_related,medical_help,medical_products,search_and_rescue,security,military,child_alone,water,food,shelter,clothing,money,missing_people,refugees,death,other_aid,infrastructure_related,transport,buildings,electricity,tools,hospitals,shops,aid_centers,other_infrastructure,weather_related,floods,storm,fire,earthquake,cold,other_weather,direct_report,micro avg,macro avg,weighted avg,samples avg
precision,0.8634453781512605,0.0,0.8066211245401996,0.76,0.9411764705882353,0.625,0.0,0.8333333333333334,0.0,0.8735632183908046,0.8650793650793651,0.8523489932885906,0.8,0.6,0.0,0.6875,0.8604651162790697,0.8,0.0,0.6511627906976745,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.8866231647634584,0.9533678756476683,0.8161993769470405,1.0,0.908,0.9090909090909091,0.5,0.8807947019867549,0.850532004728931,0.5763934805366961,0.770638096716397,0.3955162024152368
recall,0.4021526418786693,0.0,0.6069592724396995,0.036053130929791274,0.05177993527508091,0.029585798816568046,0.0,0.026455026455026454,0.0,0.1958762886597938,0.5117370892018779,0.23738317757009345,0.04878048780487805,0.01875,0.0,0.05527638190954774,0.13261648745519714,0.014814814814814815,0.0,0.0945945945945946,0.03761755485893417,0.05,0.0,0.0,0.0,0.0,0.0,0.6390358612580834,0.36507936507936506,0.48428835489833644,0.01694915254237288,0.7964912280701755,0.072992700729927,0.01466275659824047,0.34366925064599485,0.34474260679079954,0.1509600386424875,0.34474260679079954,0.21475094875085904
f1-score,0.548731642189586,0.0,0.6926895306859205,0.06884057971014494,0.09815950920245399,0.056497175141242924,0.0,0.05128205128205128,0.0,0.32,0.6430678466076696,0.3713450292397661,0.09195402298850576,0.03636363636363636,0.0,0.10232558139534885,0.22981366459627328,0.02909090909090909,0.0,0.16519174041297935,0.07164179104477612,0.09375000000000001,0.0,0.0,0.0,0.0,0.0,0.7427400068329346,0.5279770444763271,0.6078886310904873,0.03333333333333333,0.8485981308411215,0.13513513513513514,0.028490028490028494,0.4944237918215614,0.4906230210921136,0.2025523089134912,0.4301006719688417,0.2597546982780568
support,1022.0,30.0,2529.0,527.0,309.0,169.0,102.0,189.0,0.0,388.0,639.0,535.0,82.0,160.0,69.0,199.0,279.0,810.0,377.0,296.0,319.0,120.0,36.0,70.0,20.0,75.0,243.0,1701.0,504.0,541.0,59.0,570.0,137.0,341.0,1161.0,14608.0,14608.0,14608.0,14608.0
